station_address,latitude,longitude,free_bikes,ID
Queen St E / Woodward Ave,43.665269,-79.319796,14,1
Primrose Ave / Davenport Rd,43.67142,-79.445947,2,2
Queen St. E / Rhodes Ave.,43.666224,-79.317693,13,3
Bond St / Queen St E,43.653236,-79.376716,7,4
Church St / Alexander St,43.663722,-79.380288,10,5
University Ave / Gerrard St W (East Side),43.657763,-79.389165,0,6
Edward St / Yonge St,43.656729,-79.382736,11,7
Euclid Ave / Bloor St W,43.664467,-79.414783,9,8
Yonge St / Aylmer Ave,43.675492,-79.388858,13,9
Davenport Rd / Avenue Rd,43.674991,-79.396273,3,10
Yonge St / Yorkville Ave,43.671944,-79.387778,1,11
Dundas St E / Broadview Ave,43.662365,-79.351104,15,12
Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,6,13
Gerrard St E / River St,43.663993,-79.358534,8,14
Jarvis St / Dundas St E,43.657266,-79.374756,13,15
Logan Av / Gerrard St E,43.6672144,-79.3452697,14,16
Regal Rd / Dufferin St,43.673939,-79.441159,1,17
Morse St / Eastern Ave,43.657991,-79.340075,5,18
Alton Ave / Dundas St E (Greenwood Park),43.66745,-79.329408,13,19
Blake St / Boultbee Ave,43.672453,-79.338259,10,20
Eastern Ave / Winnifred Ave,43.6592088,-79.3348396,9,21
Gamble Ave / Broadview Ave,43.689211,-79.35438,7,22
111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497,7,23
Dundas St E / Pembroke St - SMART,43.658295,-79.372346,14,24
Victoria Park Subway Station - SMART,43.6940155,-79.2889842,6,25
Wychwood Ave / Benson Ave - SMART,43.6809164,-79.4229684,7,26
Lawton Blvd / Yonge St,43.6910667,-79.39535,13,27
Yonge St / Davisville Ave,43.6975969,-79.39654,1,28
Fort York  Blvd / Capreol Ct,43.639832,-79.395954,26,29
St. George St / Bloor St W,43.667333,-79.399429,0,30
King St W / York St,43.6480008,-79.383177,22,31
University Ave / Elm St,43.656518,-79.389099,6,32
Rosehill Ave / Avoca Ave - SMART,43.687999,-79.38906,3,33
Bloor St W / Dundas St W,43.6563889,-79.45166666666667,1,34
Bathurst St / Fort York Blvd,43.639179,-79.399595,11,35
Spadina Ave / Willcocks St,43.6616667,-79.40138888888889,0,36
Cariboo Ave / Railpath Trail,43.66666667,-79.45833333333334,2,37
Dundas St W / Edna Ave,43.657192,-79.452559,1,38
College St / Major St,43.6576,-79.4032,7,39
McGill St / Church St,43.660694,-79.379052,10,40
Queens Quay W / Dan Leckie Way,43.636533,-79.395854,23,41
College Park South,43.659777,-79.382767,9,42
25 York St â€“ Union Station South,43.643667,-79.380414,7,43
161 Bleecker St (South of Wellesley),43.666233,-79.373327,8,44
Spadina Ave / Fort York Blvd,43.640114,-79.393249,15,45
Augusta Ave / Denison Sq,43.653766,-79.4016759,6,46
Lansdowne Ave / Whytock Ave,43.6538888888889,-79.4413888888889,2,47
Sterling Rd / Dundas St W,43.6508333333333,-79.4430555555556,0,48
St Clarens Ave / College St,43.651238,-79.43868,1,49
Ossington Ave / College St,43.6544915,-79.422634,2,50
